ID,POINT_X,POINT_Y
135,-58.45055501,-34.57986608
136,-58.40156596,-34.63886953
137,-58.4196466,-34.58590654
138,-58.39385758,-34.60446268
139,-58.43116215,-34.58808218
140,-58.39356451,-34.60692387
141,-58.38967335,-34.64281811
142,,
143,-58.39468712,-34.61839588
144,-58.41917932,-34.59787077
145,-58.44109606,-34.59786267
146,-58.51007841,-34.65772564
147,-58.43203316,-34.60439088
148,-58.40031684,-34.61208327
149,-58.3865231,-34.63717896
150,-58.41640922,-34.65473179
151,-58.50829101,-34.60369082
152,-58.39928983,-34.61430958
153,-58.45228752,-34.56610826
154,-58.38114574,-34.60904
155,-58.53034357,-34.61813469
156,-58.48985541,-34.57632542
157,-58.48142047,-34.61141402
158,-58.37965817,-34.65336547
159,-58.46690956,-34.63000963
160,-58.45058511,-34.558441
161,,
162,-58.48188061,-34.62286908
163,-58.40465312,-34.61514133
164,-58.41253295,-34.57762101
165,-58.49316175,-34.65425363
166,-58.40022392,-34.6132015
167,-58.47975991,-34.56608026
168,-58.49202905,-34.59835877
169,-58.39449596,-34.61830277
170,-58.42433956,-34.60449586
171,-58.50521467,-34.67121538
172,-58.44337566,-34.66019022
173,,
174,-58.4021704,-34.62378046
175,-58.44981034,-34.5824078
176,-58.38346429,-34.60857779
177,-58.41640922,-34.65473179
178,-58.50904083,-34.56999744
179,-58.44352872,-34.59422851
180,-58.3933732,-34.60927674
181,-58.41353347,-34.59473105
182,-58.39743223,-34.63564961
183,-58.39035262,-34.63412436
184,-58.47152173,-34.61474977
185,-58.37299052,-34.64046205
186,-58.48725241,-34.62561891
187,-58.47842941,-34.60840771
188,,
189,-58.48328756,-34.59779543
190,-58.39819217,-34.62189406
191,-58.45066609,-34.65613715
192,-58.38280946,-34.62786177
193,-58.45367508,-34.64412841
194,-58.48483341,-34.60713718
195,-58.44896221,-34.61830965
196,-58.40195079,-34.62366848
197,-58.37384854,-34.59358422
198,-58.38703106,-34.58906847
199,-58.42232377,-34.5803586
200,-58.38204643,-34.59422682
201,-58.4959147,-34.65502988
202,-58.48233333,-34.6601387
203,-58.37185931,-34.59772501
204,-58.44416726,-34.6069229
205,-58.39171854,-34.58475674
206,-58.43061302,-34.60041751
207,-58.49523355,-34.64490366
208,-58.4533386,-34.65094888
209,-58.41990555,-34.56499041
210,-58.40282226,-34.59582483
211,-58.41606505,-34.60853623
212,-58.41586058,-34.604832
213,-58.3955365,-34.63520946
214,-58.4193174,-34.63631212
215,,
216,-58.4133479,-34.62768872
217,-58.45389592,-34.58744056
218,-58.45545609,-34.60168425
219,-58.4487527,-34.58237681
220,-58.44488569,-34.56995208
221,-58.43423689,-34.6434397
222,-58.48965697,-34.62857159
223,-58.44390657,-34.57540164
224,-58.3701724,-34.58332317
225,-58.4614694,-34.60372538
226,-58.44520691,-34.64376345
227,-58.39616503,-34.61178374
228,-58.40154916,-34.61218101
229,-58.38099466,-34.6221508
230,-58.37383805,-34.59356841
231,-58.46516102,-34.58939628
232,-58.3686822,-34.61700636
233,-58.52303796,-34.63416146
234,-58.48062204,-34.61241713
235,-58.51005266,-34.63911672
236,-58.36782033,-34.61345702
237,-58.43845076,-34.5733702
238,-58.37085411,-34.6295602
239,-58.46722078,-34.57947039
240,-58.45817068,-34.57086693
241,-58.46069316,-34.70394517
242,-58.42366536,-34.5974334
243,-58.42722708,-34.59821595
244,-58.47193519,-34.62581849
245,-58.38923889,-34.64827463
246,-58.49078171,-34.65226323
247,-58.43273849,-34.63401911
248,-58.40280196,-34.62113385
249,-58.40132871,-34.62745558
250,-58.41178059,-34.57186122
251,-58.3726695,-34.62432403
252,-58.40781201,-34.60425743
253,-58.44510324,-34.58560143
254,-58.52994493,-34.64056014
255,-58.44606091,-34.62981842
256,-58.43643157,-34.6420055
257,-58.48577557,-34.63394807
258,-58.44669608,-34.61598591
259,-58.38975553,-34.62398198
260,-58.46045406,-34.61763241
261,-58.45688466,-34.56671707
262,-58.371012,-34.6042475
263,-58.46288862,-34.63406095
264,-58.40971454,-34.61031972
265,-58.37635752,-34.61268338
266,-58.38829547,-34.62716466
267,-58.40464468,-34.58051537
268,-58.50786229,-34.57071784
269,-58.43876491,-34.59987437
270,-58.39626748,-34.65138703
271,-58.42192726,-34.65691349
272,-58.38128448,-34.60610483
273,-58.4819693,-34.60850742
274,-58.47157569,-34.62636954
275,-58.36951237,-34.59832125
276,-58.45095247,-34.58050157
277,-58.49523355,-34.64490366
278,-58.48648798,-34.63911289
279,-58.48041026,-34.65480166
280,-58.46319879,-34.64119098
281,-58.38000467,-34.62213739
282,-58.47725132,-34.68738773
283,-58.4262352,-34.6514759
284,-58.4138289,-34.5956062
285,-58.43344558,-34.5920584
286,-58.44748325,-34.58014448
287,-58.49295963,-34.65981377
288,-58.44516776,-34.64363508
289,-58.4613978,-34.54869709
290,-58.48850571,-34.66559339
291,-58.44797717,-34.5774069
292,-58.40013221,-34.65629739
293,-58.37500676,-34.58058298
294,-58.46173721,-34.63126199
295,-58.38615443,-34.61108932
296,-58.49955083,-34.59593417
297,-58.4866811,-34.59749694
298,-58.41325257,-34.59794874
299,-58.49008049,-34.62788171
300,-58.44464755,-34.59637757
301,-58.43622664,-34.62455995
302,-58.4133479,-34.62768872
303,-58.37894337,-34.60362977
304,-58.39078303,-34.63051837
305,-58.38434985,-34.62701
306,-58.45430103,-34.55495045
307,-58.50904978,-34.59240171
308,-58.38301407,-34.61773445
309,-58.52311987,-34.61550853
310,-58.45430103,-34.55495045
311,-58.47932159,-34.68329356
312,-58.47381741,-34.68619743
313,-58.45355188,-34.60537292
314,-58.44941254,-34.57798363
315,-58.44693524,-34.55616804
316,-58.37065818,-34.62949376
317,-58.48143878,-34.6757549
318,-58.39066245,-34.63152989
319,-58.42541412,-34.59675004
320,-58.38625894,-34.60812254
321,-58.48750874,-34.63528179
322,-58.42770564,-34.62196848
323,-58.43131089,-34.65035715
324,-58.48471046,-34.58911896
325,-58.50554379,-34.60199301
326,-58.40464468,-34.58051537
327,-58.4664902,-34.56219023
328,-58.50066096,-34.54973216
329,-58.52311987,-34.61550853
330,-58.40766505,-34.61023765
331,-58.39148848,-34.62273381
332,-58.4094556,-34.56900881
333,-58.40814797,-34.59806896
334,-58.42033773,-34.59891827
335,-58.46608523,-34.60391006
336,-58.41521032,-34.61973151
337,-58.45848973,-34.56166449
338,-58.42546367,-34.60144863
339,-58.37471402,-34.6126511
340,-58.39342561,-34.63610994
341,-58.36945775,-34.59939164
342,-58.38067118,-34.60356973
343,-58.38099466,-34.6221508
344,-58.38811515,-34.5883577
345,-58.48544755,-34.63002219
346,-58.46548758,-34.61441391
347,-58.42357007,-34.59348604
348,-58.43141062,-34.625573
349,-58.36694169,-34.62778062
350,-58.49992252,-34.63514313
351,-58.45382789,-34.63240591
352,-58.39323219,-34.6139312
353,-58.42529818,-34.57024595
354,-58.44769353,-34.55667976
355,-58.40936616,-34.6173366
356,-58.45180975,-34.58633915
357,-58.43448149,-34.62445927
358,-58.4062004,-34.63252777
359,-58.47870695,-34.62144515
360,-58.52928253,-34.63931845
361,-58.38090091,-34.59539398
362,-58.38439419,-34.62344707
363,-58.52717686,-34.63931471
364,-58.36722928,-34.64171193
365,-58.49933,-34.63789193
366,-58.50615597,-34.56390638
367,-58.43525637,-34.63596786
368,-58.45544814,-34.60257
369,-58.40719414,-34.58315998
370,-58.47157569,-34.62636954
371,-58.46752493,-34.62510458
372,-58.41191883,-34.59800305
373,-58.43938907,-34.58810832
374,-58.38343816,-34.60919188
375,-58.48833739,-34.62016033
376,-58.37555086,-34.62338806
377,-58.38718704,-34.62485136
378,-58.47060428,-34.55036268
379,-58.44004272,-34.55645068
380,-58.49185121,-34.60563521
381,-58.47480411,-34.64180976
382,-58.48660766,-34.62621772
383,-58.3921529,-34.61265955
384,-58.51100157,-34.63265939
385,-58.46720907,-34.53605308
386,-58.38138286,-34.61079506
387,-58.40166988,-34.61099863
388,-58.47881784,-34.65784443
389,-58.41459733,-34.58615459
390,-58.44981034,-34.5824078
391,-58.43876491,-34.59987437
392,-58.43976384,-34.5989746
393,-58.43068942,-34.58237696
394,-58.4131005,-34.61063809
