ID,ACUSADO,TIPO_VEHICULO_ACUSADO,MARCA_VEHICULO_ACUSADO,MODELO_VEHICULO_ACUSADO,COLECTIVO_ACUSADO,INTERNO_ACUSADO,SEXO_ACUSADO,EDAD_ACUSADO,repetido
87,CONDUCTOR,AUTO PARTICULAR,RENAULT,SANDERO,,,Masculino,50,
88,CONDUCTOR + CICLISTA,BICICLETA,SIN DATOS,RODADO 28,,,Femenino,25,
89,CONDUCTOR,CAMION,FORD,NO HAY DATOS,,,Masculino,57,
90,CONDUCTOR,AUTO PARTICULAR,SIN DATOS,NO HAY DATOS,,,Masculino,999,
91,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Femenino,39,
91,CONDUCTOR,AUTO PARTICULAR,HONDA,FIT,,,Masculino,29,
92,CONDUCTOR,MOTO,HONDA,125,,,Masculino,40,
93,CONDUCTOR,AUTO PARTICULAR,HONDA,FIT,,,Masculino,20,
94,CONDUCTOR,AUTO PARTICULAR,SIN DATOS,NO HAY DATOS,,,Masculino,999,
95,CONDUCTOR,OMNIBUS / MINIBUS,SIN DATOS,NO HAY DATOS,,,Masculino,31,
96,CONDUCTOR,AUTO PARTICULAR,HONDA,CIVIC,,,Masculino,32,
97,CONDUCTOR,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,CHEVROLET,MERIVA,,,Masculino,21,
97,CONDUCTOR,CAMIONETA,RENAULT,KANGOO,,,Femenino,38,
97,CONDUCTOR,CAMIONETA,RENAULT,KANGOO,,,Femenino,38,1
97,CONDUCTOR,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,CHEVROLET,MERIVA,,,Masculino,21,1
97,CONDUCTOR,CAMIONETA,RENAULT,KANGOO,,,Femenino,38,1
97,CONDUCTOR,CAMIONETA,RENAULT,KANGOO,,,Femenino,38,1
98,CONDUCTOR,AUTO PARTICULAR,FORD,GRAND VITARA,,,Masculino,30,
99,CONDUCTOR,MOTO,HONDA,TWISTER,,,Masculino,36,
99,CONDUCTOR,MOTO,HONDA,TWISTER,,,Masculino,36,1
100,CONDUCTOR,MOTO,HONDA,XR,,,Masculino,26,
100,CONDUCTOR,MOTO,HONDA,XR,,,Masculino,26,1
101,CONDUCTOR,AUTO PARTICULAR,FORD,ECO 70,,,Masculino,27,
102,CONDUCTOR,AUTO PARTICULAR,NISSAN,TIIDA,,,Femenino,36,
103,CONDUCTOR,AUTO PARTICULAR,FIAT,SIENA,,,Masculino,26,
103,CONDUCTOR,AUTO PARTICULAR,FIAT,SIENA,,,Masculino,26,1
104,CONDUCTOR,AUTO PARTICULAR,RENAULT,CLIO,,,Masculino,23,
105,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,307,,,Femenino,57,
105,CONDUCTOR,TAXI/REMIS,CHEVROLET,MERIVA,,,Masculino,55,
106,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,PARTNER,,,Masculino,39,
107,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 55,INT 17,Masculino,28,
107,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 55,INT 17,Masculino,28,1
108,CONDUCTOR,TAXI/REMIS,FIAT,SIENA,,,Masculino,39,
109,CONDUCTOR,CAMIONETA,CHEVROLET,C 10,,,Masculino,43,
110,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,CROSSFOX,,,Masculino,35,
111,CONDUCTOR,AUTO PARTICULAR,FIAT,SIENA,,,Masculino,23,
112,CONDUCTOR,CAMIONETA,RENAULT,KANGOO,,,Masculino,46,
113,CONDUCTOR,TAXI/REMIS,FIAT,SIENA,,,Masculino,60,
114,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,32,
115,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,VOYAGE,,,Masculino,62,
116,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),RENAULT,R 18,,,Masculino,21,
117,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),VOLKSWAGEN,GOL,,,Masculino,28,
118,CONDUCTOR,CAMIONETA,FORD,NO HAY DATOS,,,Masculino,36,
119,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,64,
120,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 56,INT 1035,Masculino,45,
121,CONDUCTOR,AUTO PARTICULAR,TOYOTA,COROLLA,,,Masculino,62,
122,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 29,INT 59,Masculino,37,
123,CONDUCTOR,AUTO PARTICULAR,RENAULT,SANDERO,,,Femenino,60,
124,CONDUCTOR,MOTO,YAMAHA,125,,,Femenino,60,
125,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),SIN DATOS,NO HAY DATOS,,,Masculino,999,
126,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,AVEO,,,Masculino,50,
127,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 70,INT 126,Masculino,25,
128,CONDUCTOR,AUTO PARTICULAR,FIAT,UNO,,,Femenino,37,
129,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 6,NO HAY DATOS,Masculino,999,
130,CONDUCTOR,TAXI/REMIS,RENAULT,MEGANE,,,Masculino,61,
131,CONDUCTOR,TAXI/REMIS,FIAT,SIENA,,,Masculino,55,
132,CONDUCTOR,SIN DATOS,,,,,Masculino,999,
133,CONDUCTOR,AUTO PARTICULAR,FIAT,PALIO,,,Femenino,56,
134,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 60,INT 6015,Masculino,56,
135,CONDUCTOR,MOTO,BRAVA,AQUILA 200,,,Masculino,32,
136,CONDUCTOR,CAMION,SCANIA,340,,,Masculino,45,
137,CONDUCTOR,AUTO PARTICULAR,RENAULT,CLIO,,,Masculino,25,
